SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Mapped_reads	Average_Coverage
Coemansia_aciculifera_NRRL_2694	5107	14096441	932	222061	1638	2760.22	860	3388	3822	1222	50.42	58.6	58.2	0.4	14.2	27.2	758	NA	3641019	38.7
Coemansia_aciculifera_RSA_476	4970	14544597	935	237946	1707	2926.48	820	3823	3659	1262	50.45	60.3	60.2	0.1	14.9	24.8	758	NA	3791648	39.1
Coemansia_asiatica_BCRC_34628	4927	14675238	982	96627	1781	2978.53	888	4098	3614	1280	45.55	66.4	65.6	0.8	10.8	22.8	758	8054614	6545653	66.9
Coemansia_asiatica_NBRC_105413	961	17469373	1002	182668	8458	18178.33	125	41895	454	9612	45.12	90.0	89.3	0.7	2.1	7.9	758	NA	28115143	241.4
Coemansia_biformis_BCRC_34381	4390	18312338	975	299900	2265	4171.38	658	6682	2945	1620	62.55	80.0	78.8	1.2	7.4	12.6	758	NA	34570229	283.2
Coemansia_brasiliensis_NRRL_1566	2209	12849188	1000	309642	2036	5816.74	92	20900	1228	1820	46.54	73.2	71.9	1.3	9.0	17.8	758	NA	29775216	346.5
Coemansia_erecta_BCRC_34228	5170	18719236	995	119583	2400	3620.74	1030	4787	3708	1627	50.12	57.8	52.4	5.4	15.8	26.4	758	NA	4547607	36.2
Coemansia_erecta_CBS_336.87	4297	14931779	989	239385	1742	3474.93	547	5512	2988	1330	45.21	67.0	66.2	0.8	9.6	23.4	758	NA	23115496	232.1
Coemansia_erecta_CBS_939.97	2824	14940228	985	138759	2942	5290.45	418	8999	1764	2127	49.64	73.7	72.0	1.7	7.7	18.6	758	NA	29269359	293.2
Coemansia_erecta_IMI_279145	3931	17882803	1000	143883	2994	4549.17	745	6646	2663	1986	51.29	71.0	68.2	2.8	8.8	20.2	758	NA	27975615	233.9
Coemansia_erecta_NBRC_32514	1165	18455967	1001	298937	4738	15842.03	125	44358	482	7122	51.82	87.4	86.5	0.9	3.6	9.0	758	NA	37275181	303.0
Coemansia_formosensis_NRRL_5531T	5968	18991461	1000	133031	2168	3182.22	1285	4150	4390	1454	50.45	60.9	59.6	1.3	16.2	22.9	758	6650280	5839743	46.1
Coemansia_furcata_BCRC_34190	5496	17453606	1000	118804	1935	3175.69	948	4053	4010	1388	50.42	57.7	57.0	0.7	15.6	26.7	758	NA	4998972	42.9
Coemansia_furcata_CBS_102833	4897	18040639	1000	218658	2184	3684.02	830	5445	3402	1506	50.55	62.5	60.7	1.8	15.2	22.3	758	NA	30525269	253.3
Coemansia_guatemalense_NRRL_1565	4113	19574035	1000	170302	2751	4759.07	628	7590	2660	1904	49.07	71.2	68.2	3.0	13.1	15.7	758	NA	31950570	244.6
Coemansia_helicoidea_BCRC_34780	4295	13622209	1000	136954	2140	3171.64	902	4281	3134	1406	65.61	53.0	52.6	0.4	15.8	31.2	758	NA	49898185	548.7
Coemansia_interrupta_BCRC_34489	5593	18281783	986	305423	2195	3268.69	1133	4258	4076	1465	50.24	56.5	55.3	1.2	16.6	26.9	758	NA	6882610	56.1
Coemansia_javaensis_NBRC_105414	1156	14619293	1000	181899	5273	12646.45	135	30114	535	6426	67.56	82.8	81.7	1.1	4.4	12.8	758	NA	38050291	389.5
Coemansia_linderi_BCRC_34191	4545	13189536	1000	83968	1744	2901.99	809	3791	3364	1278	53.45	58.1	57.7	0.4	13.9	28.0	758	NA	4035231	45.9
Coemansia_nantahalensis_CBS_109366	4402	13792677	1000	405491	2052	3133.28	884	4120	3207	1368	65.68	55.3	54.2	1.1	17.2	27.5	758	NA	37228739	404.4
Coemansia_nantahalensis_CBS_109400	5321	14380147	1000	87358	1846	2702.53	1164	3258	4054	1298	65.72	52.9	52.6	0.3	18.5	28.6	758	NA	28707993	299.1
Coemansia_pectinata_BCRC_34297	2316	17253351	983	175485	2702	7449.63	219	20220	1182	2595	50.38	80.6	79.8	0.8	6.9	12.5	758	NA	5936349	51.4
Coemansia_sp._BCRC_34301	1121	14520188	1001	250695	4729	12952.89	114	33953	491	6096	53.04	86.7	85.9	0.8	3.4	9.9	758	NA	5130502	53.0
Coemansia_sp._BCRC_34490	5253	16630177	988	47484	2361	3165.84	1237	3998	3895	1501	48.80	51.4	50.9	0.5	17.5	31.1	758	NA	24818122	223.1
Coemansia_sp._BCRC_34962	409	15282250	1002	355305	15358	37364.91	52	97666	182	19755	52.61	91.8	90.9	0.9	1.6	6.6	758	NA	32052323	314.5
Coemansia_sp._Benny_D115	461	18365935	1007	292827	22603	39839.34	65	85888	219	24736	49.70	89.1	88.3	0.8	2.6	8.3	758	NA	5296437	43.2
Coemansia_sp._Benny_D160-2	2082	18100877	1000	113177	4496	8693.99	296	17159	1143	3788	49.75	87.4	86.3	1.1	3.6	9.0	758	NA	21697684	179.8
Coemansia_sp._Cherry_401B	3767	15697936	981	150248	2685	4167.22	716	6183	2572	1772	55.16	62.3	60.6	1.7	15.6	22.1	758	NA	28240549	268.5
Coemansia_sp._D1744	3002	14639061	1000	199848	3253	4876.44	568	7242	1988	2086	50.01	75.5	73.9	1.6	8.7	15.8	758	NA	27984140	286.6
Coemansia_sp._IMI_203386	2281	16353261	995	337644	2048	7169.34	132	23986	1106	2140	47.25	78.6	78.1	0.5	7.5	13.9	758	6925674	6296283	57.7
Coemansia_sp._IMI_209127	4663	17488867	1000	147763	2199	3750.56	775	5556	3235	1523	50.55	76.8	75.2	1.6	7.0	16.2	758	NA	22553783	193.4
Coemansia_sp._IMI_209128	607	15955350	1003	266972	12484	26285.58	81	59633	278	14772	53.55	91.5	90.6	0.9	1.6	6.9	758	NA	88053120	827.5
Coemansia_sp._RSA_1085	282	13192701	1003	442044	9826	46782.63	27	148728	95	33832	49.83	90.3	87.7	2.6	1.5	8.2	758	NA	30649069	346.7
Coemansia_sp._RSA_1086	613	13277823	1002	286157	9804	21660.40	76	50201	284	11142	49.80	89.0	87.2	1.8	2.2	8.8	758	NA	36045821	407.2
Coemansia_sp._RSA_1199	362	15973667	1040	474790	17955	44126.15	40	109488	155	26734	49.97	89.3	86.7	2.6	2.2	8.5	758	NA	9577418	88.8
Coemansia_sp._RSA_1200	410	18798772	1018	537843	21706	45850.66	48	116424	184	27202	48.23	90.0	88.4	1.6	2.1	7.9	758	NA	26857220	214.0
Coemansia_sp._RSA_1250	273	13234030	1001	421574	10102	48476.30	28	153715	94	34376	49.85	90.7	87.9	2.8	1.5	7.8	758	NA	27456389	310.0
Coemansia_sp._RSA_1285	4910	23306479	1001	176561	3043	4746.74	902	7066	3292	2067	48.45	68.7	56.2	12.5	13.9	17.4	758	NA	4737672	30.4
Coemansia_sp._RSA_1286	5368	16056258	988	194195	1660	2991.11	651	3354	3949	1285	46.76	48.7	48.0	0.7	18.6	32.7	758	NA	5594121	51.9
Coemansia_sp._RSA_1287	4694	11058494	1000	261023	1506	2355.88	917	2414	3673	1177	49.24	38.8	38.4	0.4	19.8	41.4	758	NA	2348399	31.7
Coemansia_sp._RSA_1290	1911	11374428	994	189627	2348	5952.08	204	12687	1043	2003	49.69	71.7	70.6	1.1	7.8	20.5	758	NA	30896559	404.4
Coemansia_sp._RSA_1358	276	18712786	1009	559051	27614	67799.95	32	195127	111	42364	46.25	90.0	88.7	1.3	1.7	8.3	758	NA	5682851	45.5
Coemansia_sp._RSA_1365	6621	21296308	999	56961	2121	3216.48	1333	4277	4825	1431	43.89	47.7	46.2	1.5	18.1	34.2	758	NA	26248172	183.0
Coemansia_sp._RSA_1591	4563	15478803	985	115906	2040	3392.24	803	4773	3265	1435	49.45	73.3	71.5	1.8	9.9	16.8	758	NA	27960266	271.0
Coemansia_sp._RSA_1646	503	18517204	500	529050	3472	36813.53	36	157083	129	31603	48.40	90.5	89.2	1.3	1.8	7.7	758	19055342	18901354	153.1
Coemansia_sp._RSA_1694	5203	12725477	1000	124381	1711	2445.80	1198	2695	4048	1226	54.63	50.8	50.4	0.4	18.2	31.0	758	NA	4985841	58.7
Coemansia_sp._RSA_1721	3791	20574439	997	309819	2903	5427.18	473	8420	2397	2160	47.14	73.4	67.2	6.2	9.8	16.8	758	NA	5340073	38.9
Coemansia_sp._RSA_1722	2343	23090244	1000	358776	5166	9854.99	298	17500	1302	4353	47.43	88.5	70.6	17.9	2.9	8.6	758	NA	28129866	182.6
Coemansia_sp._RSA_1752	4595	15436613	977	77114	2039	3359.44	815	4736	3295	1426	49.47	72.9	71.2	1.7	10.0	17.1	758	NA	26859579	261.0
Coemansia_sp._RSA_1797	3517	14208221	1000	114676	2534	4039.87	639	5965	2412	1692	49.54	64.3	63.1	1.2	12.5	23.2	758	NA	26992038	283.8
Coemansia_sp._RSA_1804	5729	28953775	500	266500	878	5053.90	496	16045	2085	2352	48.92	85.7	47.8	37.9	4.7	9.6	758	16185452	16014302	82.9
Coemansia_sp._RSA_1807	3552	14297212	995	205930	2527	4025.12	647	5817	2433	1685	49.84	71.9	71.0	0.9	10.4	17.7	758	NA	12104738	126.8
Coemansia_sp._RSA_1813	369	18443649	1001	534874	10874	49982.79	34	163010	127	32521	48.43	90.5	89.2	1.3	1.8	7.7	758	NA	43463379	351.8
Coemansia_sp._RSA_1821	530	13284044	1004	314820	9605	25064.23	59	70568	226	13273	49.81	89.3	87.5	1.8	1.8	8.9	758	NA	30604356	345.6
Coemansia_sp._RSA_1822	578	15761536	1001	276179	8887	27269.09	68	69790	232	17693	49.88	88.3	85.9	2.4	3.0	8.7	758	NA	4499981	42.7
Coemansia_sp._RSA_1824	4149	15369191	935	190056	2084	3704.31	641	5638	2879	1474	49.49	71.6	70.4	1.2	10.7	17.7	758	NA	29072264	283.7
Coemansia_sp._RSA_1836	5254	12012771	1000	176301	1593	2286.40	1229	2466	4139	1173	54.63	49.6	49.1	0.5	18.9	31.5	758	NA	4587956	57.3
Coemansia_sp._RSA_1843	604	18625281	1000	633167	7941	30836.56	52	90836	219	17802	48.39	89.6	88.4	1.2	2.5	7.9	758	NA	38178020	307.5
Coemansia_sp._RSA_1853	597	15685644	1000	342222	8601	26274.11	64	66858	242	14691	49.94	87.6	85.6	2.0	3.0	9.4	758	NA	6183211	58.4
Coemansia_sp._RSA_1878	3226	14440786	979	205444	2527	4476.38	495	6904	2125	1764	49.62	66.7	65.2	1.5	12.4	20.9	758	NA	40136007	414.6
Coemansia_sp._RSA_1933	6361	19072911	494	112256	1222	2998.41	837	6518	3448	1011	50.55	83.6	83.1	0.5	6.6	9.8	758	17732022	17273534	135.8
Coemansia_sp._RSA_1935	3102	14731751	1000	99081	2685	4749.11	491	7736	1997	1842	49.79	73.1	72.0	1.1	10.7	16.2	758	NA	27509805	279.6
Coemansia_sp._RSA_1937	4511	11462741	1000	180052	1634	2541.06	869	2763	3469	1220	49.19	40.8	40.4	0.4	18.7	40.5	758	NA	4755185	61.4
Coemansia_sp._RSA_1938	4575	15461038	988	115904	2057	3379.46	819	4736	3278	1429	49.46	73.0	71.2	1.8	9.9	17.1	758	NA	30480979	295.7
Coemansia_sp._RSA_1939	2561	26093193	1000	225703	5857	10188.67	405	18142	1445	4749	48.90	85.7	53.2	32.5	4.1	10.2	758	NA	34148766	196.2
Coemansia_sp._RSA_1972	453	15926144	1001	272397	14427	35157.05	60	93516	191	21154	50.09	89.8	87.3	2.5	2.0	8.2	758	NA	7524245	70.0
Coemansia_sp._RSA_2049	4972	23581859	995	121853	3094	4742.93	930	7021	3324	2049	48.38	71.4	58.7	12.7	13.3	15.3	758	NA	5185619	32.9
Coemansia_sp._RSA_2050	419	15302387	1002	418646	15422	36521.21	51	95684	186	18391	52.58	91.7	90.8	0.9	1.7	6.6	758	NA	23143620	226.3
Coemansia_sp._RSA_2052	5034	12947725	1000	147960	1740	2572.06	1105	2977	3858	1239	54.53	50.9	50.4	0.5	18.9	30.2	758	NA	25261601	292.5
Coemansia_sp._RSA_2131	1539	15058410	1000	260737	2521	9784.54	86	37940	653	3265	50.02	81.1	79.4	1.7	5.9	13.0	758	NA	28029420	278.7
Coemansia_sp._RSA_2167	3925	15234557	1000	138839	2095	3881.42	548	5958	2667	1498	49.69	73.5	72.0	1.5	9.5	17.0	758	NA	26768785	263.6
Coemansia_sp._RSA_2320	3481	16475193	500	185025	1397	4732.89	262	14812	1694	1445	54.03	79.8	78.6	1.2	7.5	12.7	758	16792224	16434143	149.6
Coemansia_sp._RSA_2322	2679	14631441	1000	120390	2172	5461.53	305	11609	1535	1785	54.20	73.4	72.7	0.7	8.4	18.2	758	NA	4971144	50.9
Coemansia_sp._RSA_2336	4930	13944452	500	327631	1469	2828.49	703	4604	3167	1063	51.83	77.0	76.1	0.9	9.0	14.0	758	18371074	17851389	191.9
Coemansia_sp._RSA_2337	4953	22137229	997	168562	2876	4469.46	919	6549	3364	1925	49.09	68.2	62.4	5.8	12.5	19.3	758	NA	4343519	29.4
Coemansia_sp._RSA_2399	4415	17604318	982	147627	2250	3987.39	697	6222	3001	1574	50.54	78.0	76.4	1.6	6.5	15.5	758	NA	29767959	253.6
Coemansia_sp._RSA_2424	4558	21117830	994	43565	3172	4633.14	938	6923	3082	2071	53.68	72.0	60.4	11.6	11.3	16.7	758	NA	5046443	35.8
Coemansia_sp._RSA_2440	3491	14542624	807	81376	2596	4165.75	640	6254	2364	1739	49.59	67.1	65.8	1.3	12.1	20.8	758	NA	31715811	326.4
Coemansia_sp._RSA_25	5495	11801464	938	138242	1579	2147.67	1408	2270	4401	1169	54.56	44.1	43.8	0.3	18.3	37.6	758	NA	3983384	50.5
Coemansia_sp._RSA_2522	4073	12985932	1000	208495	2035	3188.30	785	4136	2967	1411	49.20	49.4	48.3	1.1	16.1	34.5	758	NA	21528222	240.3
Coemansia_sp._RSA_2523	3822	15481446	984	299320	2094	4050.61	496	6513	2561	1532	49.52	73.3	72.0	1.3	10.0	16.7	758	NA	29861235	289.3
Coemansia_sp._RSA_2524	4583	12454215	1000	220914	1618	2717.48	736	3052	3457	1234	49.53	47.2	46.8	0.4	17.5	35.3	758	NA	4049500	48.5
Coemansia_sp._RSA_2526	3591	13907284	1000	398996	2371	3872.82	619	5550	2478	1597	49.60	60.7	59.6	1.1	13.5	25.8	758	NA	34325928	368.5
Coemansia_sp._RSA_2530	2764	14569142	1000	122423	2150	5271.04	303	11450	1630	1774	53.48	75.0	74.3	0.7	9.0	16.0	758	NA	5554312	57.2
Coemansia_sp._RSA_2531	7269	17531268	997	158247	1839	2411.79	1908	2702	5713	1269	48.72	40.9	39.8	1.1	20.4	38.7	758	NA	2091734	17.9
Coemansia_sp._RSA_2559	4714	18424749	990	119466	2588	3908.52	909	5335	3312	1717	50.13	66.2	63.2	3.0	13.2	20.6	758	NA	4999763	40.7
Coemansia_sp._RSA_2598	7123	18212431	978	171292	1747	2556.85	1583	2952	5492	1242	50.32	70.8	69.1	1.7	9.0	20.2	758	NA	29708972	244.7
Coemansia_sp._RSA_2599	6580	18218183	978	327207	1745	2768.72	1241	3271	4959	1260	50.37	71.9	70.2	1.7	8.7	19.4	758	NA	39944479	328.9
Coemansia_sp._RSA_2603	5914	17785490	996	70336	2084	3007.35	1286	3768	4402	1399	46.47	53.7	52.6	1.1	18.2	28.1	758	NA	3590892	30.3
Coemansia_sp._RSA_2607	4291	19920032	996	42660	2750	4642.28	731	7620	2802	1888	46.65	69.9	64.9	5.0	10.6	19.5	758	NA	26207839	197.2
Coemansia_sp._RSA_2610	3412	16217088	724	214283	2839	4752.96	572	7602	2241	1961	55.10	68.0	66.5	1.5	13.5	18.5	758	NA	33490407	309.0
Coemansia_sp._RSA_2611	9223	29772888	1000	89185	2207	3228.11	1924	4137	6763	1476	54.15	77.8	47.5	30.3	10.3	11.9	758	NA	26867922	134.9
Coemansia_sp._RSA_2618	4245	17413095	1000	347085	2690	4102.02	787	5765	2924	1776	51.49	68.3	65.7	2.6	10.2	21.5	758	NA	12170475	104.7
Coemansia_sp._RSA_2671	4551	13381493	1000	189517	1754	2940.34	708	3460	3369	1296	53.43	55.1	54.7	0.4	18.7	26.2	758	NA	4367392	48.9
Coemansia_sp._RSA_2673	6953	23525967	1000	42526	2215	3383.57	1434	4812	4987	1459	49.13	62.0	55.7	6.3	17.7	20.3	758	NA	3791395	24.2
Coemansia_sp._RSA_2675	2356	15875907	976	139693	2679	6738.50	253	15087	1310	2344	53.57	87.0	86.3	0.7	4.0	9.0	758	NA	27792237	262.6
Coemansia_sp._RSA_2681	5478	14274763	984	73786	1867	2605.83	1302	3056	4218	1295	53.98	51.7	51.6	0.1	18.2	30.1	758	NA	4787271	50.3
Coemansia_sp._RSA_2702	4352	14822349	961	152748	2248	3405.87	870	4519	3132	1506	54.54	46.0	44.9	1.1	18.7	35.3	758	NA	17343053	172.6
Coemansia_sp._RSA_2703	7547	22002480	985	46665	1795	2915.39	1398	3705	5623	1308	46.50	52.2	43.5	8.7	16.6	31.2	758	NA	35260248	240.4
Coemansia_sp._RSA_2704	3671	15749345	1000	151405	2745	4290.21	685	6428	2494	1812	55.23	64.6	62.9	1.7	14.6	20.8	758	NA	32087559	304.6
Coemansia_sp._RSA_2705	3557	15980165	1000	150316	2847	4492.60	649	7015	2376	1875	55.28	67.4	66.1	1.3	13.3	19.3	758	NA	34215981	320.5
Coemansia_sp._RSA_2706	4303	15016330	1000	152506	2370	3489.74	884	4658	3087	1546	54.67	48.0	47.1	0.9	18.3	33.7	758	NA	17165395	169.5
Coemansia_sp._RSA_2708	6294	17240045	966	75733	1839	2739.12	1358	3423	4773	1285	54.83	64.9	61.9	3.0	12.8	22.3	758	NA	29995573	261.0
Coemansia_sp._RSA_2711	5815	16975802	1000	105130	1914	2919.31	1208	3735	4346	1336	54.96	69.8	67.0	2.8	10.3	19.9	758	NA	34411300	304.1
Coemansia_sp._RSA_353	3260	14316784	1000	222709	2489	4391.65	513	6825	2152	1739	49.65	64.7	63.6	1.1	12.1	23.2	758	NA	38860522	406.1
Coemansia_sp._RSA_355	2222	14856719	1000	318549	2702	6686.19	137	13624	1238	2362	49.77	75.0	73.4	1.6	8.0	17.0	758	NA	33328405	335.2
Coemansia_sp._RSA_370	3240	14537078	955	193193	2572	4486.75	510	6915	2144	1788	49.76	68.5	67.2	1.3	11.5	20.0	758	NA	15619995	160.9
Coemansia_sp._RSA_371	3408	14560410	1000	101348	2660	4272.42	623	6425	2295	1762	49.71	69.4	68.1	1.3	10.4	20.2	758	NA	27723510	285.1
Coemansia_sp._RSA_376	5159	21863217	988	266207	2744	4237.88	954	5946	3536	1812	48.95	62.2	57.5	4.7	15.0	22.8	758	NA	5543438	37.9
Coemansia_sp._RSA_451	5289	16145947	500	167821	1511	3052.74	766	5631	3235	1094	49.78	78.9	77.8	1.1	9.0	12.1	758	17951116	17651734	163.9
Coemansia_sp._RSA_454	4104	12838035	1000	192381	1672	3128.18	462	3793	2971	1289	49.58	55.1	54.6	0.5	14.4	30.5	758	NA	4513638	52.3
Coemansia_sp._RSA_455	4904	21211611	999	268415	2742	4325.37	902	6130	3344	1853	49.05	66.1	62.4	3.7	13.7	20.2	758	NA	4686019	33.1
Coemansia_sp._RSA_475	4712	12831370	751	266633	1701	2723.13	844	3039	3562	1249	49.53	48.8	47.6	1.2	18.3	32.9	758	NA	4410272	51.4
Coemansia_sp._RSA_485	2392	24604979	1000	336847	5491	10286.36	326	18771	1348	4454	47.47	87.8	59.8	28.0	3.3	8.9	758	NA	21101770	128.4
Coemansia_sp._RSA_486	7408	26978175	1000	205398	2154	3641.76	1239	5084	5231	1523	47.01	52.1	28.1	24.0	17.5	30.4	758	NA	42783463	237.9
Coemansia_sp._RSA_487	534	18528264	500	515472	2621	34697.12	38	146810	130	34916	48.40	90.5	89.2	1.3	1.8	7.7	758	24715208	24493264	198.3
Coemansia_sp._RSA_518	4792	16268347	500	231404	1495	3394.90	604	6636	2747	1187	49.71	78.1	76.6	1.5	8.6	13.3	758	25620824	25074224	231.1
Coemansia_sp._RSA_520	4241	12695412	1000	90072	1970	2993.49	865	3797	3140	1348	49.10	45.9	45.1	0.8	17.2	36.9	758	NA	16969096	196.1
Coemansia_sp._RSA_521	3268	14483206	1000	224108	2611	4431.83	536	6776	2168	1781	49.72	68.1	66.5	1.6	10.9	21.0	758	NA	39059201	403.4
Coemansia_sp._RSA_522	3010	14793976	999	304995	2740	4914.94	429	7772	1930	1926	49.70	71.9	69.9	2.0	9.4	18.7	758	NA	27001246	273.5
Coemansia_sp._RSA_530	4730	12231019	990	222869	1670	2585.84	924	2852	3622	1233	49.49	44.3	43.5	0.8	19.9	35.8	758	NA	5373285	65.3
Coemansia_sp._RSA_532	5302	16333512	500	229142	1339	3080.63	649	6033	3139	1047	49.68	74.6	73.0	1.6	10.9	14.5	758	19915488	19546719	179.4
Coemansia_sp._RSA_551	4490	12527413	843	397276	1643	2790.07	683	3017	3365	1246	49.60	49.3	48.5	0.8	18.1	32.6	758	NA	3944073	46.9
Coemansia_sp._RSA_552	4325	14050470	991	198617	1986	3248.66	695	3809	3148	1428	57.96	61.5	60.8	0.7	15.2	23.3	758	NA	5372319	57.2
Coemansia_sp._RSA_560	4734	12853868	992	116937	1885	2715.22	1048	3184	3603	1304	49.42	47.7	47.2	0.5	18.1	34.2	758	NA	7173926	83.0
Coemansia_sp._RSA_562	2996	14488353	1000	343730	2420	4835.90	323	7633	1905	1793	49.79	71.9	70.7	1.2	8.4	19.7	758	NA	12352674	127.7
Coemansia_sp._RSA_564	3677	13623014	1000	102747	2276	3704.93	644	5172	2571	1553	49.64	58.6	57.4	1.2	13.5	27.9	758	NA	31088002	340.6
Coemansia_sp._RSA_637	2902	14564291	1000	583244	2538	5018.71	342	8269	1815	1831	49.80	71.5	69.9	1.6	10.4	18.1	758	NA	30425472	312.6
Coemansia_sp._RSA_638	638	15933366	1023	306026	8251	24973.93	69	65747	255	15195	49.99	89.1	86.9	2.2	2.6	8.3	758	NA	34540314	325.2
Coemansia_sp._RSA_678	3648	13710023	1000	186411	1980	3758.23	493	5836	2489	1451	49.85	64.2	63.3	0.9	13.3	22.5	758	NA	32125846	350.9
Coemansia_sp._RSA_720	348	15924920	1001	468817	15320	45761.26	37	131427	135	29594	49.96	89.4	86.8	2.6	2.4	8.2	758	NA	32121776	301.6
Coemansia_sp._RSA_788	4870	12598203	989	212347	1712	2586.90	978	2763	3746	1255	49.55	46.8	45.9	0.9	19.7	33.5	758	NA	3685360	43.8
Coemansia_sp._RSA_921	4465	12410153	1000	276829	1702	2779.43	762	3092	3362	1275	49.57	47.0	46.3	0.7	17.4	35.6	758	NA	4827547	57.9
Coemansia_sp._RSA_922	2816	28229007	1001	107450	6111	10024.51	481	17084	1675	4653	49.66	88.7	51.2	37.5	2.4	8.9	758	NA	21869391	114.7
Coemansia_sp._RSA_986	343	18440121	1005	600229	13107	53761.29	30	174829	120	32331	48.43	90.4	89.1	1.3	1.8	7.8	758	NA	27493887	223.5
Coemansia_sp._RSA_988	5257	16762965	1000	382051	1933	3188.69	920	4172	3801	1361	46.94	56.8	56.1	0.7	18.2	25.0	758	NA	29284199	261.9
Coemansia_sp._RSA_989	505	13289729	1003	286360	9773	26316.30	59	70653	213	14872	49.81	89.9	87.9	2.0	1.5	8.6	758	NA	36281768	409.5
Coemansia_sp._RSA_990	495	13259898	1000	286942	9445	26787.67	56	73889	207	15077	49.84	89.5	87.7	1.8	1.8	8.7	758	NA	33967744	384.3
Coemansia_sp._S100	4315	23706832	997	158274	3577	5494.05	815	8429	2832	2418	49.08	77.3	67.5	9.8	9.2	13.5	758	NA	5632804	35.6
Coemansia_sp._S142-1	6017	21815771	998	88432	2538	3625.69	1304	4919	4322	1652	48.93	59.7	54.7	5.0	16.2	24.1	758	NA	3311704	22.8
Coemansia_sp._S146	495	18007021	1005	282721	16184	36377.82	65	87686	218	22239	50.46	90.9	89.7	1.2	1.8	7.3	758	NA	6533179	54.3
Coemansia_sp._S155-1	4201	24143889	1000	64746	3760	5747.18	802	9070	2713	2488	49.16	78.6	68.6	10.0	8.6	12.8	758	NA	5987138	37.2
Coemansia_sp._S16	2964	25635416	1000	93940	5287	8648.93	508	14825	1769	3912	49.34	88.3	67.9	20.4	2.8	8.9	758	NA	31710135	185.4
Coemansia_sp._S17	8895	29291657	1000	68208	2160	3293.05	1811	4528	6454	1451	49.32	39.6	11.9	27.7	22.4	38.0	758	NA	30038048	153.8
Coemansia_sp._S2	5632	21826792	1000	61706	2681	3875.50	1191	5366	3978	1751	48.96	60.6	55.3	5.3	17.0	22.4	758	NA	3855012	26.5
Coemansia_sp._S3946	2743	25753858	1001	114711	5752	9388.94	480	15755	1624	4353	49.37	89.2	67.4	21.8	2.4	8.4	758	NA	28011069	163.0
Coemansia_sp._S610	4353	14101878	983	64022	2342	3239.58	1004	4208	3200	1532	52.97	48.5	47.8	0.7	17.4	34.1	758	NA	14205871	150.1
Coemansia_sp._S680	1957	16763154	1000	258627	2943	8565.74	189	21165	937	3210	49.79	80.8	79.9	0.9	6.5	12.7	758	NA	5216468	46.4
Coemansia_sp._S85	5717	15087663	1000	100124	2034	2639.09	1495	3127	4424	1359	52.79	45.5	45.1	0.4	22.6	31.9	758	NA	3724924	37.0
Coemansia_spiralis_CBS_108938	3873	13792733	973	199574	2253	3561.25	726	4940	2732	1497	63.96	56.2	55.7	0.5	16.5	27.3	758	NA	29371966	318.8
Coemansia_spiralis_CBS_109367	917	15892191	1001	266598	5071	17330.63	81	50223	362	8931	53.30	87.6	86.7	0.9	2.4	10.0	758	NA	27298260	256.9
Coemansia_spiralis_NRRL_3115	306	18698638	1018	482529	26216	61106.66	34	166849	127	36949	46.25	89.7	88.5	1.2	1.8	8.5	758	NA	5479712	43.9
Coemansia_thaxteri_IMI_214461	1893	15295263	1000	172329	2686	8079.91	198	20717	895	3095	53.98	78.7	77.6	1.1	7.7	13.6	758	NA	33785836	331.1
Coemansia_thaxteri_IMI_214463	2470	14781496	1000	132459	2396	5984.41	290	12732	1352	2005	54.15	75.6	74.8	0.8	9.2	15.2	758	NA	5380571	54.6
Coemansia_umbellata_BCRC_34882	478	18716323	502	838008	3855	39155.49	35	157815	134	36615	46.24	90.3	89.2	1.1	1.7	8.0	758	49255050	48385547	258.5
Conidiobolus_antarcticus_ARSEF_6913	2778	84309531	500	338257	14985	30349.00	378	68532	1289	17459	19.22	72.9	72.2	0.7	8.2	18.9	758	16150346	15935275	28.3
Conidiobolus_firmipilleus_ARSEF_2731	20485	35834536	497	210346	1080	1749.31	3654	2273	14762	763	27.27	44.2	43.7	0.5	22.3	33.5	758	17023760	14512654	40.5
Conidiobolus_heterosporus_ARSEF_6386	6612	43960289	500	246000	2338	6648.56	770	16756	2780	3719	26.43	68.5	36.0	32.5	9.8	21.7	758	22383790	22056683	50.2
Conidiobolus_incongruus_NRRL_3022	1599	23736301	984	169176	5031	14844.47	206	35307	689	8880	37.82	98.1	91.2	6.9	0.7	1.2	758	NA	9621038	60.7
Conidiobolus_incongruus_NRRL_3023	1127	24002101	1002	222033	12007	21297.34	168	45842	536	13191	36.66	97.0	90.4	6.6	0.5	2.5	758	NA	10278831	64.2
Conidiobolus_lamprauges_ARSEF_2338	10682	40661900	500	49846	1380	3806.58	1369	9120	5169	1532	23.35	68.5	42.1	26.4	10.3	21.2	758	22126758	21447317	52.7
Conidiobolus_lamprauges_NRRL_1229	7570	54280948	500	115386	2682	7170.53	907	17479	3350	3655	22.42	66.3	28.4	37.9	10.9	22.8	758	16933906	16797587	46.4
Conidiobolus_megalotocus_ARSEF_8428	19345	39724521	494	53457	1173	2053.48	3134	3083	13289	835	27.43	72.5	71.8	0.7	10.0	17.5	758	19787796	18048378	45.4
